titles
"State Visit of Prime Minister of Greece to India (February 21-22, 2024)"
"Visit of Foreign Minister of Argentina to India (June 15-18, 2013)"
"Visit of Foreign Minister of New Zealand to India (June 4, 2013)"
"Visit of Foreign Minister of Cuba (May 25-27, 2013)"
"Visit of President of Afghanistan (May 20-22, 2013)"
"State Visit of Chinese Premier Mr. Li Keqiang to India (May 19-21, 2013)"
"Visit of Mr. Erkki Tuomioja, Minister of Foreign Affairs of Finland to India (May 06-08, 2013)"
"Visit of His Excellency Mr. Elmar Mammadyarov, Minister of Foreign Affairs of the Republic of Azerbaijan (May 2-5, 2013)"
"Visit of His Excellency Dr. Olafur Ragnar Grimsson, President of Iceland to India (March 31-April 06, 2013)"
"Visit of Minister of Foreign Affairs of Bosnia and Herzegovina, Dr. Zlatko Lagumdzija (24-28 , March, 2013)"
"State visit of His Excellency Dr. Mohamed Morsy, President of the Arab Republic of Egypt to India (March 18-20, 2013)"
"Visit of Minister of Amiri Dewan Affairs of Kuwait to India (March 10-13, 2013)"
"Visit of Foreign Minister of Portugal to India (March 3-7, 2013)"
"Visit of Foreign Minister of Kazakhstan to India (March 3-5, 2013)"
"Official Visit of Prime Minister of UK to India (February 18-20, 2013)"
"State Visit of H.E. Mr. Francois Hollande President of the Republic of France to India (February 14-15, 2013)"
"Visit of Prime Minister of Bhutan Jigmi Y. Thinley to India (February 7-9, 2013)"
"State visit of the King of Bhutan H.M. Jigme Khesar Namgyel Wangchuck (January 23-30, 2013)"
"Visit of Deputy Prime Minister and Minister of Foreign Affairs of Turkmenistan to India (January 21-22, 2013)"
"Visit of Foreign Minister of Sri Lanka to India (January 21-23, 2013)"
"Visit of Foreign Minister of Australia to India (January 19-22, 2013)"
"State visit of President of Republic of Mauritius H.E. Mr. Rajkeswur Purryag (January 3-10, 2013)"
"Visit of Rt. Hon'ble Dr. Ram Baran Yadav, President of Nepal to India (December 24-29, 2012)"
"Visit of H.E. Vladimir V. Putin, President of Russia to India (December 23, 2012)"
"State visit of the President of Ukraine to India, ( 9-12 December, 2012)"
Visit of Prime Minister of the Republic of Belarus to India (November 13-14)
"State Visit of President of Afghanistan to India November 9-13, 2012"
Visit of the United Kingdom Foreign Secretary Mr. William Hague to India
Visit of Prime Minister of Canada
12th IOR ARC Meetings
"State Visit of the King of Spain to India(October 24-27, 2012)"
Visit of Australian Prime Minister to India
Visit of Deputy Prime Minister of the Russian Federation
"Visit of H.E Mr. Mahinda Rajapaksa, President of the Sri Lanka"
Visit of President of Burundi
Visit of Minister of Foreign Affairs of Canada to India
Visit of President of the Palestine to India
Visit of President of the Republic of Tajikistan to India
Visit of Deputy Prime Minister and Foreign Minister of Belgium to India
Visit of Foreign Ministers of Chile and Venezuela and Vice Foreign Minister of Cuba for the First CELAC Ministerial TROIKA Meeting
Visit of Foreign Minister of Indonesia to India
Visit of Prime Minister of Singapore to India
"Visit of Minister of foreign, Regional Integaration and International Trade, Republic of Mauritius"
Visit of Federal Minister for foreign Affairs of Germany to India
Visit of Foreign Minister of Iran to India
Visit of Crown Prince of Bahrain to India
Visit of the President of Paraguay to India
Visit of Foreign Minister of UAE to India
Visit of President of Maldives to India
Visit of US Secretary of State to India
Visit of Foreign Minister of Singapore to India
Visit of the Foreign Minister of Bangladesh to India
Visit of Minister for Foreign Affairs of Afghanistan to India
Visit of Foreign Minister of Japan to India
Visit of Foreign Minister of Montenegro to India
Visit of the President of the Islamic Republic of Pakistan to India
Fourth BRICS Summit 2012
Visit of UNDP Administrator to India
Visit of Minister of Foreign Affairs of Italy to India
Visit of President of the General Assembly of the United Nations
Visit of the Foreign Minister of Seychelles
Visit of President of the European Council of the European Union
State Visit of Prime Minister of Mauritius
State Visit of Prime Minister of Thailand
Visit of EU High Representative
State Visit of President of Mali
State Visit of PM of Trinidad and Tobago
Visit of FM of Thailand
Visit of PM of Japan
Visit of FM of Ukraine
State Visit of King and Queen of Bhutan
Visit of FM of France
Visit of Prime Minister of Nepal
Visit of President of Vietnam
Visit of President of Myanmar
Visit of President of Afghanistan
Visit of FM of Syria
Visit of FM of Pakistan
Visit of FM of Poland
Visit of FM of Libya
Visit of High Peace Council of Afghanistan
Visit of Secretary Clinton
Visit of FM of Netherland
Visit of FM of UAE
Visit of PM of New Zealand
Visit of First Vice President of Afghanistan
Visit of PM of Slovenia
"Visit of President of Syria Arab Republic to India, (June 17-21 2008)"
Visit
Visit of Chancellor of Germany
Visit of FM of Egypt
Visit of President of Uzbekistan
Visit of FM of Sri Lanka
Visit of FM of Iceland
Visit of FM of Cyprus
Visit of PM of Thailand
Visit of FM of Bahrain
Visit of Secy General of Saudi NSC
Visit of Economic Adviser of Ethiopian PM
Visit of FM of Nigeria
Visit of FM of Philippines
Visit of Deputy PM of Malaysia
Visit of FM of Brazil
Visit of FM of South Africa
LDC Ministerial Conference
Visit of President of Afghanistan
Visit of President of Nepal
State Visit of President of Indonesia
Visit of president of Russia
Visit of FM of Denmark
Visit of India Premier Web Jiabao of China
Visit of Foreign Minister of Ethiopia
Visit of President of France
Visit of FM of Russia
Visit of FM of Armenia
Visit of President of USA
Visit of President of Malawi
Visit of FM of Oman
Visit of German FM
Visit of President of Mozambique
Visit of PM of Poland
Visit of Chadian Delegation
Visit of Swiss Foreign Minister
Visit of Gambian FM
visit of Afghan Foreign Minister
Visit of Japanese FM
Visit of Mexican FM
Visit of Deputy FM of Iran
"Visit of Chairman, State Peace and Development Council of Myanmar"
Visit of UK PM David Cameron
Visit of Iranian Minister of Economic Affairs and Finance
Visit of Deputy FM of Afghanistan
Visit of Baroness Catherine Ashton
Visit of Vice President of Botswana
Visit of South African President
Visit of President of Seychelles
Visit of President of Turkmenistan
Visit of US Under Secretary for Political Affairs
Visit of President of Afghanistan
Visit of Governor of Riyadh
Visit of FM of Congo
Visit of African Union Delegation
"Visit of UAE Vice President & Prime Minister, Ruler of Dubai"
Visit of FM of Lesotho
Visit of Russian Prime Minister
Visit of Foreign Minister of Norway
Visit of Foreign Secretary of Pakistan
Visit of Vice President of Maldives
Visit of Secretary of State for Foreign Affairs of Morocco
State Visit of President of Nepal
Visit of Palestinian National Authority President
Visit of President of Turkey
Delhi Sustainable Development Summit
Visit of the President of Germany
Visit of FM of Hungary
Visit of PM of Malaysia
Visit of President of Iceland
Visit of President of Republic of Korea
Visit of Prime Minister of Japan to India
"Visit of Prime Minister of Japan (December 27-29, 2009)"
Visit of Minister of Foreign Affairs of the Islamic Republic of Afghanistan to India
Visit of the Prime Minister of Bhutan to New Delhi
Visit of FM of Republic of Korea to India
Visit of Minister of Foreign Affairs of UAE to India
"Visit of US Under Secretary for Political Affairs, William J. Burns to India"
Visit of the Secretary of the Supreme National Security Council of Iran
Visit of the President Dr. Michelle Bachelet of Chile to India
Visit of the President of the Republic of Benin H. E. Dr. Boni Yayi to India
Visit of President of Republic of Kazakhstan to India
Visit of Secretary of State of the UK H.E. David Miliband
Visit to India of H.E. President Hamid Karzai
Visit of Spanish Deputy Prime Minister to India
"State visit of H.E. Mr. Mohamed Nasheed, President of the Republic of Maldives. (December 23-25, 2008)"
On the visit of Foreign Minister of Pakistan to India
"Visit of Dr. Awad Ahmed Al-Jaz, Minister of Finance and National Economy of Sudan to India"
"Visit of The Hon’ble Mr. Abdulla Shahid, Minister for Foreign Affairs of the Republic of Maldives (September 18-20, 2008)"
"Visit of Australian Foreign Minister Mr Stephen Smith to New Delhi (8 -12 September, 2008)"
"State visit of HE The Hon’ble Anand Satyanand, Governor-General of New Zealand, to India (September 8-14, 2008)"
"State visit of HE Mr. Choummaly Sayasone, President of Lao PDR, to India (August 26-30, 2008)"
"State visit of H.E. Mr. Hamid Karzai, President of the Islamic Republic of Afghanistan to India (August 03-05, 2008)"
"State Visit of His Excellency Lyonchen Jigmi Y. Thinley, the Prime Minister of Bhutan to India (July 14-17, 2008)"
"visit of the Portuguese Minister of Foreign Affairs to India, (July 7-9, 2008)"
"Visit of Foreign Minister of Pakistan to India (June 27-29, 2008)"
"Visit of His Majesty Sultan Haji Hassanal Bolkiah of Brunei Darussalam to India [May 20-23, 2008]"
"State visit of his majesty, the Sultan of Brunei to India May 20-23, 2008"
"Official Visit of His Highness The Aga Khan to India [May 12-19, 2008]"
"On the visit of Slovak Foreign Minister to India on (29-30 April, 2008)"
"On the visit of the President of Islamic Republic of Iran H.E. Mr Mahmoud Ahmadinejad (April 29, 2008)"
"State Visit of H.E. Vice Senior General Maung Aye of the Government of Union of Myanmar to India [April 2-6, 2008]"
Visit of Prime Minister of Malaysia
"Visit of HE Dr. Ali Mohamed Shein, the Vice President of the United Republic of Tanzania to India [March 18-25, 2008]"
"Official Visit of Her Royal Highness Princess Maha Chakri Sirindhorn of the Kingdom of Thailand to India (March 17-22, 2008)"
"On the visit of Prime Minister of the Russian Federation, Mr. Viktor A. Zubkov to India"
"On the State Visit of H.E. Mr. Maumoon Abdul Gayoom, President of the Republic Maldives to India"
"On the visit of Turkish Foreign Minister to India from February 5-10, 2008"
"State Visit of H.E. Mr. Anders Fogh Rasmussen, Prime Minister of Denmark to India [February 4-8, 2008]"
"Visit of H.E. Mr. Anders Fogh Rasmussen, Prime Minister of Denmark to India"
"Visit of H.E. Mr. Ednan Karabaev, Foreign Minister of the Kyrgyz Republic to India 4-6 February 2008"
"Visit of Ms. Jane Holl Lute, Assistant Secretary General/ Officer-in-Charge, Department of Field Support, United Nations and accompanying delegation (27-29 January, 2008)"
On the State Visit of the President of France H.E. Mr. Nicolas Sarkozy to India (25- 26 January 2008)
"Visit of a delegation led by the Deputy Prime Minister and Foreign Minister of Turkmenistan, Mr Rashid Meredov to India on 20-22 January 2008"
"On the visit of Prime Minister of United Kingdom, Dr. Gordon Brown to India"
"Visit of H.E. Mr. Ferenc Gyurcsány, Prime Minister of the Republic of Hungary"
"Visit of H.E. Mr. Kostas Karamanlis, Prime Minister of the Hellenic Republic"
"Visit of Canadian Foreign Minister to India from January 10 – 12, 2008"
"Visit of Deputy Prime Minister for the Council of Ministers in the Sultanate of Oman to New Delhi(December 12-15, 2007)"
"Visit of Prime Minister of Cambodia H.E. Mr. Hun Sen to India, (December 7 – 10, 2007)"
"On the State Visit of Prime Minister of Cambodia H.E. Mr. Hun Sen to India, (December 7 – 10, 2007)"
"Visit of Mr. Karel Schwarzenberg, Foreign Minister of the Czech Republic. (November 18-21, 2007)"
"Visit of Micheline Camyy- Rey, president of the Swiss Confederation to |India (5-8 November 2007)"
"Visit of Queen Beatrix of the Kingdom of Netherlands, 22-27 October 2007"
"Visit of H.E. Mr. Massimo D'Alema, Deputy Prime Minister and Minister of Foreign Affairs of Italy, 9-12 October 07"
"State visit of H.E. Mr. Felipe Calderon Hinojosa, President of Mexico to India, 9-12 September, 2007"
"Visit of Dr. Mehdi Safari, Deputy Foreign Minister of the Islamic Republic of Iran to India"
"Visit of H.E. Mr. Gert Rosenthal, Minister of Foreign Affairs of the Republic of Guatemala to India"
State Visit of the Prime Minister of Vietnam to India
State Visit of Prime Minister of Thailand to India
"Visit of Minister of State for External Affairs, Shri Anand Shrama to Angola, 8-9 June, 2007"
"State Visit of the President of Brazil to India, (3-5 June, 2007)"
"14th SAARC Summit, New Delhi, April 3-4, 2007"
"Official Visit of H.E. Mr Vladimir V Putin, President of the Russian Federation to India,[January 25-26, 2007]"
"Official Visit of H.E. Mr Vladimir V Putin, President of the Russian Federation to India (January 25-26, 2007)"
State Visit of Prime Minister of Bangladesh
"Official Visit of H.E. Prof. Alpha Konare, Chairperson of the African Union to India(December 19-22, 2006)"
"Visit of H.E. Mr. Ahmed Aboul Gheit, Minister of Foreign Affairs of Egypt to India(15-17 December 2006)"
"Official Visit of H.E. Mr. Jonas Gahr Store, Foreign Minister of Kingdom of Norway to India(December 14-16, 2006)"
"State Visit of H.E. Mr. Festus Gontebanye Mogae, President of the Republic of Botswana and Mrs. Barbara Mogae to India(December 07-13, 2006)"
"Visit of His Majesty King Abdullah II Bin El Hussein of the Hashemite Kingdom of Jordan to India (November 30 – December 01, 2006)"
"Official Visit of H.E. Mr. Mahinda Rajapakse, President of the Democratic Socialist Republic of Sri Lanka to India(November 25-29, 2006)"
"Visit of Chinese President Mr. Hu Jintao to India, November 20-23,2006"
"Visit of Chinese President Hu Jintao to India, (November 20-23, 2006)"
"Visit of H.E. Mr. Manouchehr Mottaki, Minister of Foreign Affairs of the Islamic Republic of Iran to India(November 16-17, 2006)"
"Visit of H.E. Mr. Sergei Lavrov, Minister of Foreign Affairs of the Russian Federation to India(November 16-17, 2006)"
"Visit of President Hamid Karzai of Afghanistan to India(November 15 - 19, 2006)"
"Official Visit of His Excellency Mr. K.P. Sharma Oli, Deputy Prime Minister and Foreign Minister of Nepal(November 5-11, 2006)"
"Visit of H.R.H. Crown Prince Haakon and H.R.H. Crown Princess Mette-Marit of Kingdom of Norway to India(October 29 to November 04, 2006)"
"Visit of H.E. Mr. Sam Kutesa, Minister of Foreign Affairs of the Republic of Uganda to India(October 29 to November 02, 2006)"
"Official Visit of H.E. Mr. Marco Hausiku, Foreign Minister of the Republic of Namibia to India( October 26-30, 2006)"
"Official Visit of H.E. Mr. Rodolphe Adada, Foreign Minister of the Republic of Congo to India(October 24-29, 2006)"
"State Visit of H.E. Mr. Traian Basescu, President of Romania to India(October 22-24, 2006)"
"Official Visit of the H.E.Pehin Dato Lim Jock Seng, Minister of Foreign Affairs and Trade II of Brunei Darussalam to India(October 10-13, 2006)"
"Official Visit of His Highness The Aga Khan to India(September 19-22, 2006)"
"Official Visit of H.E. Mrs. Phumzile Miambo-Ngcuka, Deputy President of the Republic of South Africa to India(September 10-13, 2006)"
"Visit of H.E. Dr. Mehdi Safari, Deputy Minister of Foreign Affairs for Asia, Oceania and Commonwealth of the Islamic Republic of Iran to India(August 29-30, 2006)"
"Meeting of 9th BIMSTEC (Bangladesh, India, Myanmar, Sri Lanka and Thailand Economic Cooperation) Senior Officials / Ministerial Meeting"
"Official Visit of H.E. Dr. Kantathi Suphamongkhon, Minister of Foreign Affairs of Thailand to India( August 7-10, 2006)"
"State Visit of the H.E. Mr. Emomali Sharifovich Rahmonov, President of the Republic of Tajikistan to India(August 06-10, 2006)"
"Official Visit of H.E. Mr. Youssouf Bakayoko, Minister of Foreign Affairs of the Republic of Cote d’ Ivoire (Ivory Coast) to India(August 03-08, 2006)"
"Working Visit of His Majesty Jigme Singye Wangchuck, King of Bhutan to India(July 26-31, 2006)"
"Official Visit of H.E. Mr. Ahmed Ben Said Jaffar, Minister of Foreign Relations and Cooperation, Union of the Comoros to India"
"Official Visit of H.E. Mr. Manouchehr Mottaki, Minister of Foreign Affairs of the Islamic Republic of Iran to India( July 19-21, 2006)"
"Official Visit of H.E. Mr. Francisco Carrion Mena, Minister of Foreign Affairs of the Republic of Ecuador to India( July 16-20, 2006)"
"Visit of H.E. Mr. Jorge Enrique Taiana, Minister of Foreign Relations, International Trade & Worship of the Argentine Republic to India(July 02-08, 2006)"
"Official Visit of H.E. Dr. Rangin Dadfar Spanta, Minister of Foreign Affairs of the Islamic Republic of Afghanistan to India(June 29 - July 1, 2006)"
"Official Visit of H.E. Mme Mariam Aladji Boni Diallo, Minister of Foreign Affairs and African Integration of the Republic of Benin to India(June 26-27, 2006)"
"State Visit of His Highness Sheikh Sabah Al-Ahmad Al-Jaber Al-Sabah, Amir of the State of Kuwait to India(June 14-19, 2006)"
"Official Visit of H.E. Mr. Nana Addo Dankwa Akufo-Addo, Minister of Foreign Affairs, Republic of Ghana(June 09-11, 2006)"
"Official Visit of H.E. Mr. Girija Prasad Koirala, Prime Minister of Nepal to India(June 6-9, 2006)"
"Official visit of H.E. Mr. Davies Katsonga, Minister of Foreign Affairs of the Republic of Malawi to India(May 09-14, 2006)"
"Official visit of H.E. Mr. Abdool Raouf Bundhun, Vice President of the Republic of Mauritius(May 07-16, 2006)"
"Official visit of H.E. Mr. Mangala Samaraweera, Minister of Foreign Affairs of The Democratic Republic of Sri Lanka(May 06-09, 2006)"
"Official visit of H.E. Mr. Raymond Ramazani Baya, Minister of Foreign Affairs and International Cooperation of the Democratic Republic of Congo to India(May 2-7, 2006)"
"State Visit of H.E. Mr. Tassos Papadopoulos, President of the Republic of Cyprus to India(April 11-16, 2006)"
"State Visit of H.E. Mr. Hamid Karzai, President of the Islamic Republic of Afghanistan to India(April 09-13, 2006)"
"State Visit of H.E. Begum Khaleda Zia, Prime Minister of the People’s Republic of Bangladesh to India(20-22 March 2006)"
"Official Visit of H.E. Mr. Mikhail E Fradkov, Chairman (Prime Minister) of the Government of the Russian Federation, and Mrs. Fradkova to India(March 16-17, 2006)"
"Official Visit of H.E. Mr. Matti Vanhanen, Prime Minister of Finland(March 10-15, 2006)"
"Visit of President of the United States of America George W Bush to India, March 1-3, 2006"
"State Visit of the Honorable John Howard MP, Prime Minister of Australia and Mrs. Janette Howard(March 05-08, 2006)"
"State Visit of the Honorable John Howard MP, Prime Minister of Australia and Mrs. Janette Howard(March 05-08, 2006)"
"State Visit of H.E. Mr. Jacques Chirac, President of the French Republic to India(February 19-21, 2006)"
"Official Visit of H.E. Dr. Carios Morales Troncoso, Secretary of State for External Relations (Foreign Minister) of the Dominican Republic to India(February 16-23)"
"State Visit of The Custodian of the Two Holy Mosques, King Abdullah bin Abdulaziz Al-Saud of the Kingdom of Saudi Arabia to India(January 24-27, 2006)"
"Visit of H.E. Mr. Jiri Paroubek, Prime Minister of the Czech Republic to India(January 17-20, 2006)"
"Official Visit of H.E. Dr. Jan Peter Balkenende, Prime Minister of Kingdom of Netherlands to India(January 17-20, 2006)"
"Official Visit of H.E. Mr. Bertie Ahern T.D., Prime Minister of Ireland to India(January 16-21, 2006)"
"Official Visit of H.E. Mr. Taro Aso, Minister for Foreign Affairs of Japan to India(January 3-4, 2006)"
"Visit of Mr. Tony Blair, Prime Minister of United Kingdom to India, September 6-8, 2005"
"Visit of H.E. Mr. Wen Jiabao, Premier of the State Council of the People’s Republic of China to India, April 9-12, 2005"
"Visit of H.E. Mr. Wen Jiabao, Premier of the State Council of the People’s Republic of China to India, April 9-12, 2005"
